Mach Number,CD
0.0,0.0
0.4737846,0.4640958
0.4689522,0.4640022
0.4641632,0.4639161
0.4594164,0.4638372
0.454711,0.4637653
0.4500461,0.4637001
0.4454208,0.4636416
0.4408342,0.4635894
0.4362854,0.4635434
0.4317737,0.4635035
0.4272982,0.4634693
0.4228582,0.4634409
0.4184529,0.4634181
0.4140816,0.4634006
0.4097435,0.4633885
0.4054381,0.4633815
0.4011645,0.4633796
0.3969222,0.4633825
0.3927105,0.4633904
0.3885288,0.4634029
0.3843764,0.4634201
0.3802527,0.4634418
0.3761573,0.463468
0.3720894,0.4634986
0.3680487,0.4635335
0.3640344,0.4635727
0.3600461,0.463616
0.3560833,0.4636634
0.3521455,0.4637149
0.3482321,0.4637704
0.3443427,0.4638298
0.3404769,0.4638932
0.3366341,0.4639604
0.332814,0.4640315
0.329016,0.4641063
0.3252398,0.4641849
0.3214848,0.4642672
0.3177508,0.4643532
0.3140374,0.4644428
0.310344,0.4645361
0.3066703,0.464633
0.3030161,0.4647335
0.2993807,0.4648376
0.295764,0.4649453
0.2921656,0.4650565
0.2885851,0.4651713
0.2850221,0.4652896
0.2814764,0.4654114
0.2779476,0.4655368
0.2744354,0.4656657
0.2709395,0.4657982
0.2674595,0.4659341
0.2639952,0.4660737
0.2605462,0.4662167
0.2571123,0.4663633
0.2536931,0.4665134
0.2502885,0.4666672
0.246898,0.46689
0.2435214,0.4671222
0.2401583,0.4673577
0.2368087,0.4675966
0.2334721,0.4678388
0.2301484,0.4680845
0.2268372,0.4683336
0.2235384,0.4685862
0.2202517,0.4688422
0.2169768,0.4691018
0.2137136,0.469365
0.2104619,0.4696317
0.2072213,0.4699021
0.2039916,0.4701761
0.2007727,0.4704538
0.1975644,0.4707353
0.1943664,0.4710205
0.1911785,0.4713095
0.1880006,0.4716023
0.1848323,0.471899
0.1816736,0.4721996
0.1785241,0.4725041
0.1753838,0.4728126
0.1722524,0.473125
0.1691298,0.4734415
0.1660157,0.473762
0.16291,0.4740865
0.1598124,0.4744151
0.1567229,0.4747478
0.1536412,0.4750845
0.1505672,0.4754253
0.1475006,0.4757702
0.1444413,0.476119
0.1413892,0.4764718
0.1383441,0.4768285
0.1353057,0.4771891
0.132274,0.4775534
0.1292488,0.4779213
0.1262298,0.4782927
0.1232171,0.4786673
0.1202103,0.479045
0.1172093,0.4794255
0.1142141,0.4798084
