Mach Number,CD
0.01994735,0.4598783
0.03893223,0.4755899
0.05710889,0.4755043
0.07503242,0.473135
0.092839,0.4704129
0.1106328,0.4677808
0.1283973,0.4653604
0.1460923,0.4631777
0.1637101,0.4612224
0.1812453,0.4594755
0.1986926,0.4579166
0.2160466,0.4565273
0.2333021,0.4552909
0.250454,0.4542029
0.2674967,0.4535918
0.2844251,0.4530949
0.3012336,0.4527032
0.3179174,0.4524093
0.3344715,0.4522067
0.3508907,0.45209
0.3671702,0.4520544
0.3833052,0.452096
0.3992909,0.4522114
0.414764,0.4523935
0.4288953,0.4526223
0.4416451,0.4528811
0.4530071,0.4531552
0.4629771,0.4534314
0.4715528,0.4536978
0.4787335,0.4539443
0.4844837,0.4541611
0.4884818,0.4543303
0.4906574,0.4544433
0.4910189,0.4544966
0.4895967,0.4544907
0.4867041,0.4544377
0.4828202,0.454356
0.4785486,0.454267
